id,title,tempo,zero_crossing_rating,pitch,loudness,length
1328,놓지마 (Hold me),84.72079918,12306,443.2144228,5010936,443.2144228
1329,Perhaps Love (사랑인가요) (Prod.By 박근태),147.65625,16884,456.3687692,5271864,456.3687692
1330,BODY,132.5120192,26762,570.5488434,4625016,570.5488434
1331,봄인가 봐 (Spring Love),172.265625,10225,382.0346794,4382520,382.0346794
1332,Feelin` (Feat. 에릭남),135.9991776,13841,745.7981489,4262712,745.7981489
1333,U & I,143.5546875,47247,914.5495256,4295808,914.5495256
1334,Rainy Day,90.66611842,30900,819.1164717,4899456,819.1164717
1335,Headlock,105.46875,27114,848.0535751,4722936,848.0535751
1336,Higher (Feat. 이루마),19.21177974,19146,918.1022262,4861440,918.1022262
1337,If You,161.4990234,13424,666.3685674,4126776,666.3685674
1338,보여줄게,64.59960938,13082,694.2934442,5123520,694.2934442
1339,저녁 하늘,129.1992188,19607,515.543499,5158656,515.543499
1340,Shut Up (Feat. Simon D),103.359375,17189,807.8419449,4465728,807.8419449
1341,Heaven,90.66611842,34688,833.6831835,4671360,833.6831835
1342,손대지마,109.9567819,16757,917.8152379,4508352,917.8152379
1343,너나 잘해,107.6660156,36115,1064.019448,4538304,1064.019448
1344,Insane,135.9991776,43756,903.3587953,4612032,903.3587953
1345,Symphony (Feat. 챈슬러),139.6748311,22382,727.2187683,4337280,727.2187683
1346,노래가 늘었어,92.28515625,20108,756.6903715,4409280,756.6903715
1347,첫눈처럼 너에게 가겠다,67.11647727,21644,582.1870679,5077752,582.1870679
1348,파란 봄,132.5120192,11730,692.4783167,5549496,692.4783167
1349,눈물이 맘을 훔쳐서,139.6748311,11587,603.0953152,5390208,603.0953152
1350,하루하루,139.6748311,9956,559.5518804,5222016,559.5518804
1351,홀로 크리스마스,120.1853198,14600,481.412539,4766034,481.412539
1352,가르치지마,86.1328125,42072,767.5047569,4300926,767.5047569
1353,I`m In Love,93.96306818,32735,621.9951016,5773248,621.9951016
1354,Don't Cry For Me,109.9567819,14531,696.6966299,5019000,696.6966299
1355,헤픈엔딩 (Feat. 조원선 Of 롤러코스터),99.38401442,25392,398.5406956,5829120,398.5406956
1356,또 싸워 (Feat. 윤하),86.1328125,15149,351.2085545,5542848,351.2085545
1357,AMOR FATI (Feat. 김종완 Of 넬),112.3471467,24557,415.0478971,6463296,415.0478971
1358,"BORN HATER (Feat. 빈지노, 버벌진트, B.I, MINO, BOBBY)",97.50884434,23045,558.1598746,7213248,558.1598746
1359,LESSON 5 (타임라인),120.1853198,59724,525.0994278,4436928,525.0994278
1360,LIFE IS GOOD (Feat. 박재범),178.205819,22549,515.9741926,4408128,515.9741926
1361,EYES NOSE LIPS (Feat. 태양),92.28515625,19664,411.3016236,4705920,411.3016236
1362,"Rosario (Feat. CL, 지코)",191.40625,10588,631.5920642,5072970,631.5920642
1363,내 얘기 같아 (Feat. 헤이즈 (Heize)),191.40625,13690,464.5291993,5176458,464.5291993
